Patent/Practical Model,Title,Abstract,Claim,Number of Claims,Application Number,Application Date,Year,Public Number,Public Date,Registeration Number,Registeration Date,Applicant,Inventor,Original CPC All,CPC,WIPS ON key
P,"CONSUMER ACCESS TO PERSONAL, HEALTH-RELATED DATA IN REAL-TIME TO SUPPORT COMPREHENSION, SAFE SELF-SELECTION, AND APPROPRIATE USE OF HEALTH CARE PRODUCTS AS PER AN FDA-APPROVED LABEL METHOD AND SYSTEM","A consumer health care product self-selection system, including: a processor coupled to a memory containing program code; a network interface configured to provide access to: a user interface configured to receive input from and providing output to a consumer; one or more databases; a product distribution system; and a product support system; the processor is configured to: provide information of one or more products to the consumer; receive selection of the product; determine the consumer's eligibility of purchasing the selected product based on at least one of: consumer data and product data retrieved from the one or more databases, and data entered by the consumer; when eligible, direct the consumer to the product distribution system to purchase the selected product; and when ineligible, direct the consumer to the product support system to provide product support information of the selected product to the consumer and access to a healthcare professional.","1. A consumer health care product self-selection system, comprising: a processor coupled to a memory containing program code; anda network interface configured to provide access to:a user interface configured to receive input from and providing output to a consumer;one or more databases;a product distribution system; anda product support system;wherein the processor is configured to: provide information of one or more products to the consumer via the user interface;receive selection of the product by the consumer;determine the consumer's eligibility of purchasing the selected product based on at least one of: consumer data and product data retrieved from the one or more databases, and data entered by the consumer via the user interface; when the consumer is determined to be eligible, direct the consumer to the product distribution system to purchase the selected product; andwhen the consumer is determined to be ineligible, direct the consumer to the product support system to provide product support information of the selected product to the consumer wherein the consumer has direct access to a healthcare professional via but not limited to chat, video conference, telehealth connection or telephone; andrecord transaction data to data repositories.",20,16/798743,2020-02-24,2020,2020-0193496,2020-06-18,,,Biograph Inc.,"Mary Alice  LAWLESS | Frederick T.  LAWLESS, III | David Cutler  BRADFORD | John J.  GOODWIN | David  McCAMMON | Joseph  McGOVERN | Brent Cutler  PAGE | Alpesh  PATEL | Clark Andrew  RICHARDSON | Dennis  TZE",G06Q-0030/0607 | G06Q-0030/0623 | G06Q-0030/018 | G06Q-0030/0641 | G06Q-0030/016 | G16H-0080/00 | G09B-0019/00 | G16H-0010/60 | G16H-0010/40 | G16H-0070/20 | G16H-0020/10 | G06Q-0020/405 | G16H-0010/20 | G16H-0070/40,G06Q,5.42E+12
P,Telehealth Platform,"In various formats and various technologies across the health care systems/locations, there is a huge need to integrate and make it easier for the user to apply all these technologies across the board, without the need to become an IT/software expert or hire one in-house, which is very expensive and duplicative effort for other similar organizations in the health care industry to do the same exact function. This document describes a software system that allows our system (ViTelNet) to design, configure, deploy, and run sophisticated custom applications across a variety of hardware platforms, without writing any code. In one example, we describe a method/system for the telehealth platform. In one example, we describe the development tools for such a platform. Many variations and examples are also presented.","1. A system for telehealth platform, said system comprising: a user interface;a processor for processing and analyzing information received from a user through said user interface;a display;a script editor for writing and changing a script based on a computer language;a first script written based on said script editor;one or more buttons;a menu;wherein said menu is displayed on said display;said one or more buttons are chosen from said menu by said user;wherein said one or more buttons are displayed on said display;wherein said one or more buttons are associated with one or more functionalities;wherein said one or more buttons trigger said first script to run on said processor, when said one or more buttons are pushed or chosen on said display by said user; andwherein said first script produces said one or more functionalities through said processor on one or more other modules or on said system.",20,16/221536,2018-12-16,2018,2020-0194112,2020-06-18,,,Allen Izadpanah | Jon Louthian | Donald Buck | Julian Werfel | Robert Graves,Allen  Izadpanah | Jon  Louthian | Donald  Buck | Julian  Werfel | Robert  Graves,G16H-0040/20 | G06F-0008/38 | G06F-0008/33,G16H,5.42E+12
P,ICU telemedicine system for varied EMR systems,"A computer-implemented patient monitoring system includes a patient data monitoring system on a first computing system, including a patient medical data query engine configured to generate one or more rule execution requests. The monitoring system further includes a network circuit communicating with the medical database system and one or more remote patient care computing devices. The remote care computing devices in turn include a patient medical data repository and a query response engine configured to respond to received rule execution requests. Responding to rule execution requests includes verifying the validity of a rule execution request, identifying data in the patient medical data repository responsive to the rule execution request, and transmitting response patient medical data responsive to the rule execution request.","1. A telemedicine system including a remote site and a plurality of patient monitoring facilities, comprising: a patient monitoring telemedicine system at each of the plurality of patient monitoring facilities, each patient monitoring telemedicine system including a patient monitoring database system for receiving and storing clinical data related to at least one patient in accordance with a database type that defines data structures or terminology used by the database system;a patient monitoring computer system in communication with the patient monitoring database system and with the remote site, the patient monitoring computer system programmed to execute a stored program held in non-transient media to: (a) receive a query formulator inquiry from the remote site;(b) transmit a query formulator response to the remote site indicating whether the patient monitoring computer system includes a query, formulator;(c) receive and instantiate a query formulator from the remote site based on the negative query formulator response, wherein the query formulator is system specific to the database type of the patient monitoring telemedicine system;(d) receive at least one rule from the remote site, the rule defining one or more decision outcomes to be generated when clinical data satisfies one or more clinical parameters for the decision outcome;(e) generate a plurality of data requests for each received rule, each data request1) using data protocols using the data structures or terminology compatible with the database type of the patient monitoring telemedicine system, and2) correlated to a single clinical data entry from at least one of the patient monitoring database system related to the at least one patient in the patient monitoring facility;(f) executing the received rule including execution of the plurality of data requests and application of the rule to data entries provided based on the execution of the data requests to generate a decision outcome; and(g) transmitting the generated decision outcome to the remote site,wherein the patient monitoring database system of at least one of the plurality of patient monitoring facilities has a database type that is a different database type from at least one of the remaining patient monitoring facilities.",18,15/693798,2017-09-01,2017,,,10674910,2020-06-09,Epic Systems Corporation,Stirling  Martin | Aaron  Webb,A61B-0005/0002 | A61B-0005/0022 | A61B-0005/0205 | G16H-0040/67 | A61B-2505/03,A61B,4.92E+12
P,Hospital clinical workforce redeployment system and method of use,"A status and workflow management system, analytic tools, artificial intelligence, and monitoring indexes along with a status and workflow management system, including an intake mechanism and computer systems for use by responsible persons responsible for respective parts of the processing of individual telehealth workforce redeployment opportunities for the at-risk clinical employee populations at a hospital, interests in monitoring hospital telehealth initiatives, and or evaluating the utilization of at-risk clinical employees within telehealth initiatives. A system comprising at least two computers, a telemetric data collection system, and artificial intelligence providing a mechanism that generates for each responsible person a workflow status screen and monitoring dashboards comprising of information pertaining to the given responsible person's perspective of involvement. A task generator element capable of displaying to the given responsible person on his or her screen tasks to which he or she has been assigned and or self-elected to do so. A task update mechanism updates tasks on the screen of the given responsible person in accordance with a sequence of workflow steps. An automatic mechanism for displaying monitoring indexes relative to fluctuations in data. An automatic mechanism for updating reporting and decision making tools via evolving artificial intelligence applied predictive modeling.","1) A status, measurement index(s), artificial intelligence empowered management tools, and data exchange for the at-risk clinical employees of hospital health systems comprising a) At least two computers,b) A profile of at-risk employees,c) A profile of hospital systems,d) A profile of telehealth initiatives,e) A database of open projects,f) A database of insurance classification(s),g) An assignment element capable of matching employees to at least one open project,h) A task generator element,i) An update mechanism for each said task,j) A tracking element associated with each task of a project,k) A telemetric data collection means for monitoring said employee performance by said task;l) A reporting element to communicate said performance to parties involved with managing employees, responsible for managing risk, insurers, data collectors.The status and workflow-management system of claim 1, further comprising a cost recoupment element for said employee's employer.The status and workflow-management system of claim 1, further comprising input from at least one external carrier.",1,16/602710,2019-11-25,2019,2020-0176106,2020-06-04,,,Alexander Pieroni,Alexander  Pieroni,G16H-0040/20 | G06Q-0010/063118 | G06Q-0010/0633 | G06Q-0040/08 | G06Q-0010/06398 | G06Q-0010/105,G16H,5.42E+12
P,MEDICAL SERVICES KIOSK,"A medical services kiosk supporting private and secure telemedicine sessions between a patient and a remote network terminal utilized by a remote health care professional. The medical services kiosk comprising at least one privacy chamber having at least one door and at least one window. Each privacy chamber may include a user interactive display terminal that includes a display device, an input device, and a centralized processor, wherein the centralized processor is electronically communicable with the remote network terminal and a cloud based system. Each patient station may each include at least one documentation receiving device, at least one biometric device for obtaining biometric health measurements of the patient utilizing the at least one patient station, an arm mechanism, a seating mechanism, a camera, a retractable diagnostic camera device, a lighting mechanism that lights the privacy chamber, and a purification system.","1. A medical services kiosk, comprising: a unit defining an interior space having a closed top, a closed bottom, a pair of opposite right and left sides, a front end, and a back end;at least one patient station provided inside of said interior space of said unit, said at least one patient station comprising: a privacy chamber having at least one door, wherein said privacy chamber is provided for receiving a patient therein and allowing said patient to have a medical session over a network with a remote health care professional;an electronic device, wherein said electronic device is electronically communicable over said network with a cloud based system and a remotely located network terminal accessible by said remote health care professional;at least one documentation receiving device;at least one biometric device for obtaining biometric health measurements of said patient utilizing said at least one patient station;a camera configured to transmit a real-time image of said patient to said remotely located network terminal accessible by said remote health care professional over said network;a retractable diagnostic camera;a lighting mechanism that lights said privacy chamber; anda purification system, wherein said at least one documentation receiving device, said at least one biometric device, said camera, and said retractable diagnostic camera are communicable with said electronic device.",20,16/573756,2019-09-17,2019,2020-0168329,2020-05-28,,,Leonard Solie,Leonard  Solie,G16H-0040/67 | G16H-0010/60 | G06F-0021/6245 | A61B-0005/742 | A61B-0005/0077,G16H,5.42E+12
P,SYSTEM AND METHOD FOR AUTOMATED MULTIMODAL SUMMARIZATION IN CONTROLLED MEDICAL ENVIRONMENTS TO IMPROVE INFORMATION EXCHANGE FOR TELEMEDICINE,"Various embodiments relate to a method and system for method for automated, multimodal summarization of a medical visit in a controlled medical environment, the method including the steps of capturing, by an audiovisual monitoring module and a plurality of medical devices, a data stream of the medical visit in the controlled medical environment, collecting, by the audiovisual monitoring module, a request for a telemedicine consultation, performing, by a summarization service module, a summary extraction to select portions of the data stream, generating, by the summarization service module, an audiovisual summary and transmitting, by the summarization service module, the audiovisual summary to a telemedicine provider.","1. A method for automated, multimodal summarization of a medical visit in a controlled medical environment, the method comprising the steps of: capturing, by an audiovisual monitoring module and a plurality of medical devices, a data stream of the medical visit in the controlled medical environment;collecting, by the audiovisual monitoring module, a request for a telemedicine consultation;performing, by a summarization service module, a summary extraction to select portions of the data stream;generating, by the summarization service module, an audiovisual summary; andtransmitting, by the summarization service module, the audiovisual summary to a telemedicine provider.",20,16/692791,2019-11-22,2019,2020-0168330,2020-05-28,,,KONINKLIJKE PHILIPS N.V.,Daniel Jason  SCHULMAN | Grzegorz Andrzej  TOPOREK | Saman  PARVANEH,G16H-0040/67 | G10L-0017/005 | A61B-0005/0077 | A61B-0005/117 | G16H-0010/60 | H04N-0021/8549,G16H,5.42E+12
P,CLINICIAN STATION FOR PROVIDING MEDICAL SERVICES REMOTELY,"A clinician station supporting private and secure telemedicine session between an operator and a patient on a remote patient station terminal. The clinician stations comprising a base, an interactive device stand, and a display terminal. The interactive device stand includes an electronic device, a device casing, and an adjustable arm. The display terminal includes a display device, a display casing, and an adjustable arm. The electronic device and the electronic display device are electronically communicable over a network with a cloud based system that is configured to host a medical session between a patient in the patient station terminal and the operator using the clinician station.","1. A clinician station, comprising: a base;an interactive device stand coupled to said base; anda display terminal coupled to said base facing said interactive device, wherein said clinician station is electronically communicable over a network with a cloud based system configurable to host a medical session between a patient in a patient station and an operator using said clinician station.",20,16/692908,2019-11-22,2019,2020-0168331,2020-05-28,,,LEONARD SOLIE,LEONARD  SOLIE,G16H-0040/67 | G16H-0080/00 | A61B-0005/742 | A61B-0005/0017 | A61B-0005/0022,G16H,5.42E+12
P,MEDICAL SERVICES METHOD AND SYSTEM,"A medical services system and method supporting private and secure telemedicine sessions between a patient and a remote medical facility are provided including a medical services kiosk comprising a plurality of individual interior chambers, an inventory storage component, and other medical technology. The medical services system is configured to communicatively couple components within both the medical services kiosk and the remote medical facility so that information necessary for examining, treating, and diagnosing the patient is acquired and medical professionals are able to provide offsite instructions, prescriptions, and other medical related services to the patient in a manner that is convenient, timely, and efficient.","1. A system for providing medical services comprising: an enclosure comprising an interior space;at least one camera configured to support user interaction;an optical projector device;a visual user interface configured to support user interaction; andan adjustable screen display;wherein the camera, the optical projector device, the visual user interface, and the adjustable screen display are communicatively coupled.",20,16/275741,2019-02-14,2019,2020-0168346,2020-05-28,,,Leonard Solie,Leonard  Solie,G16H-0080/00 | G16H-0015/00 | G16H-0050/20 | G16H-0010/60,G16H,5.42E+12
P,Graphical user interfaces including touchpad driving interfaces for telemedicine devices,"The present disclosure describes various aspects of remote presence interfaces (RPIs) for use on portable electronic devices (PEDs) to interface with remote telepresence devices. An RPI may allow a user to interact with a telepresence device, view a live video feed, provide navigational instructions, and/or otherwise interact with the telepresence device. The RPI may allow a user to manually, semi-autonomously, or autonomously control the movement of the telepresence device. One or more panels associated with a video feed, patient data, calendars, date, time, telemetry data, PED data, telepresence device data, healthcare facility information, healthcare practitioner information, menu tabs, settings controls, and/or other features may be utilized via the RPI.","1. A non-transitory computer-readable storage medium storing instructions that, when executed by a processor, are configured to cause the processor to perform operations comprising: retrieving a list of patients;selectively displaying the list of patients;receiving a selection of a patient from the patient list;automatically selecting a remote presence device from a plurality of remote presence devices, wherein automatically selecting comprises: connecting to an admissions, discharges, and transfers (ADT) data source for a facility;determining using the ADT data source a current location of the selected patient within the facility; andselecting a remote presence device nearest the current location of the selected patient within the facility;communicatively connecting an electronic device to the selected remote presence device;displaying a live video feed from a camera of the remote presence device in a video panel on an electronic display of the electronic device; andupdating the live video feed as the selected remote presence device moves to the selected destination.",13,16/045608,2018-07-25,2018,2019-0066839,2019-02-28,10658083,2020-05-19,"INTOUCH TECHNOLOGIES, INC.",Charles S.  Jordan | Andy  Young | Mei Sheng  Ng | Yair  Lurie | Fuji  Lai | Timothy C.  Wright | Cody  Herzog | Blair  Whitney | Bill  Rizzi | James  Ballantyne | Yulun  Wang | Cheuk Wah  Wong | Justin  Kearns | Orjeta  Taka | Ramchandra  Karandikar,G16H-0040/63 | G06F-0003/04847 | G06F-0003/04883 | G06F-0019/00 | G06F-0019/3418 | G06Q-0010/10 | G16H-0040/67 | G16Z-0099/00 | H04N-0007/142 | H04N-0007/147 | G06Q-0050/22,G16H,4.92E+12
P,Mobile Medicine Communication Platform and Methods and Uses Thereof,"Telemedicine systems and methods are described. In a telemedicine system operable to communicate with a remote operations center, communications can be transmitted/received using a transceiver having an antenna. The antenna can include first and second di-pole antenna elements, the first di-pole antenna element being vertically polarized and the second di-pole antenna element being horizontally polarized. A controller of the system can establish, using the transceiver, a telemedicine session with the operations center using a Transport Morphing Protocol (TMP), the TMP being an acknowledgement-based user datagram protocol. The controller can also mask one or more transient network degradations to increase resiliency of the telemedicine session. The telemedicine system can include a 2D and 3D carotid Doppler and transcranial Doppler and/or other diagnostic devices, and provides for real-time connectivity and communication between medical personnel in an emergency vehicle and a receiving hospital for immediate diagnosis and treatment to a patient in need.","1. A telemedicine system operable to communicate with a remote operations center, comprising: a transceiver configured to transmit or receive one or more communications via an antenna having first and second di-pole antenna elements, the first di-pole antenna element being vertically polarized and the second di-pole antenna element being horizontally polarized; anda controller connected to the transceiver and configured to: establish, using the transceiver, a telemedicine session with the operations center using a Transport Morphing Protocol (TMP), the TMP being an acknowledgement-based user datagram protocol; andmask one or more transient network degradations to increase resiliency of the telemedicine session.",20,16/736401,2020-01-07,2020,2020-0152324,2020-05-14,,,"BR Invention Holding, LLC",Stuart Alan  Stein | Craig Steven  Smith,G16H-0040/63 | H04L-0067/12 | A61B-0005/024 | H01Q-0009/0407 | G16H-0040/67 | H01Q-0009/28 | H01Q-0001/3275 | A61B-0005/0022 | H01Q-0021/24 | H04L-0069/40 | H01Q-0001/1214 | H01Q-0021/26 | H01Q-0001/42 | H04L-0001/00 | H01Q-0021/28 | H04B-0007/18528,G16H,5.42E+12
P,CODE TRIGGER TELEMEDICINE SESSION,"A system for creating a unique transaction ID (UTID) securely representing a medical diagnostic transaction between a user/patient and a telemedicine professional is provided. The system includes a first central office database configured to store medical information and profile information for a plurality of users/patients, a second central office database configured to store UTIDs, a memory, and a processor coupled to the memory. The processor is configured to receive test information, initiate generation of a UTID for the new diagnostic transaction, analyze the received test information to determine if the test information indicates a positive or a negative result, transfer the analysis results back to the user/patient's MU, and receive from the MU a request for a telemedicine professional session.","2. A method for creating a unique transaction ID (UTID) securely representing a medical diagnostic transaction between a user/patient and a telemedicine professional, comprising the steps of: receiving, at a central office from a user/patient's mobile unit (MU), test information generated by a test platform proximate the user/patient's MU of a biologic received from the user/patient, to initiate a new diagnostic transaction, wherein the information generated by the test platform includes a representation of positive results of a specific medical condition and information regarding the test platform, wherein the information regarding the test platform includes an indication of the specific medical condition tested by the test platform;the central office having a first central office database for storing medical information and profile information for a plurality of users/patients, the central office having a second central office database for storing UTIDs;initiating generation of a UTID for the new diagnostic transaction initiated by the receiving of the test information after creation thereof in the second central office database, wherein the UTID stores, as part of the UTID, transaction information including the positive results and the information regarding the test platform, and wherein the UTID is associated with the user/patient;analyzing the received test information to determine if the test information for the specific medical condition being tested represents a positive result for an existence of the specific medical condition;transferring test results back to the user/patient's MU for display to the user/patient; andupdating the UTID in response to receiving additional information generated by another test platform, wherein the additional information includes a representation of positive results of a specific medical condition and information regarding the other test platform, wherein the information regarding the other test platform includes an indication of the specific medical condition tested by the other test platform, and wherein the UTID is configured to be updated to store, as a part of the UTID, information on a plurality of transactions upon an occurrence of each of the plurality of transactions.",20,16/674181,2019-11-05,2019,2020-0152339,2020-05-14,,,"RELIANT IMMUNE DIAGNOSTICS, INC.","JOVAN HUTTON  PULITZER | HENRY JOSEPH  LEGERE, III",G16H-0080/00 | G16H-0010/65 | G16H-0050/70 | G16H-0050/20 | G16H-0015/00 | G16H-0020/10,G16H,5.42E+12
P,DIAGNOSTIC HEARING HEALTH ASSESSMENT SYSTEM AND METHOD,"A system and a method for a healthcare provider to easily, accurately and efficiently provide a diagnostic hearing assessment, for their patients, in a way that accurately detects hearing loss and provides recommendations for seeking further assistance from remotely-located ear specialists is provided.","1. A system to enable a healthcare provider to administer a diagnostic hearing assessment and to consult with a remotely-located ear specialist, the system comprising: an otoscope for capturing a diagnostic image of a target area of an ear canal, ear drum and/or ear tissue of a patient; anda telemedicine device communicably connected to the otoscope, the telemedicine device comprising, a data processor configured to process the diagnostic image, anda memory configured to store the diagnostic image and a clinical history data of the patient, the clinical history data comprising a result of at least one of a threshold hearing test and a result of a pressure test of each ear of the patient, whereinthe data processor is configured to generate a report comprising the diagnostic image and the clinical history data, and to transmit a consultation request to the remotely-located ear specialist.",20,16/493817,2018-03-06,2018,2020-0129094,2020-04-30,,,Steven Brian Levine,Steven Brian  Levine,A61B-0005/123 | A61B-0001/227 | A61B-0001/00011 | A61B-0001/00009 | A61B-0005/126 | G16H-0030/20 | G16H-0050/20 | G16H-0040/67 | G16H-0015/00 | G16H-0050/50 | A61B-0005/7465,A61B,5.42E+12
P,"System and method for quantifying, ensuring, and triggering the prescriptive authority for a telemedicine session","A method for creating a unique transaction ID (UTID) securely representing a medical diagnostic transaction between a user/patient and a telemedicine professional is provided. The method includes receiving test information to initiate a new diagnostic transaction, initiating generation of a UTID for the new diagnostic transaction initiated by the receive operation for storage of any transaction information associated therewith, and receiving a request for a telemedicine session and in response thereto executing the following steps: analyzing the test results with an expert system, contacting a telemedicine professional and transmitting predetermined information from the first central office database including at least the test results and determined treatment regimens determined by the expert system, and receiving approval from the telemedicine professional of a selection of the determined treatment regimen.","1. A method for creating a unique transaction ID (UTID) securely representing a medical diagnostic transaction between a user/patient and a telemedicine professional, comprising the steps of: receiving, at a central office from a user/patient's mobile unit (MU), test information generated by a test platform proximate the user/patient's MU of a biologic received from the user/patient, to initiate a new diagnostic transaction, wherein the information generated by the test platform includes a representation of positive results of a specific medical condition and information regarding the test platform, wherein the information regarding the test platform includes an indication of the specific medical condition tested by the test platform;the central office having a first central office database for storing medical information and profile information for a plurality of users/patients, the central office having a second central office database for storing UTIDs;initiating generation of a UTID for the new diagnostic transaction initiated by the receiving operation after creation thereof in the second central office database, wherein the UTID stores, as part of the UTID, transaction information including the positive results and the information regarding the test platform, and wherein the UTID is associated with the user/patient;analyzing the received test information to determine if the test information for the specific medical condition being tested represents a positive result for an existence of the specific medical condition;transferring test results back to the user/patient's MU for display to the user/patient;updating the UTID in response to receiving additional information generated by another test platform, wherein the additional information includes a representation of positive results of a specific medical condition and information regarding the other test platform, wherein the information regarding the other test platform includes an indication of the specific medical condition tested by the other test platform, and wherein the UTID is configured to be updated to store, as a part of the UTID, information on a plurality of transactions upon an occurrence of each of the plurality of transactions; andreceiving from the MU a request for a telemedicine professional session limited to the specific medical condition being tested and in response thereto executing the following steps at the central office representing a diagnostic procedure for the specific medical condition following predetermined industry standard diagnostic procedures for such diagnosis for the specific medical condition: analyzing the test results with an expert system in view of user/patient stored information in the first central office database to determine at least one treatment regimen for the specific medical condition, the expert system being trained on the predetermined industry standard diagnostic procedures associated with the diagnostic procedures for the specific medical condition and for generating a result of a suggested industry recommended treatment regimen,generating a digital certificate, wherein the digital certificate includes the UTID and information associated with the UTID, user/patient authentication information, test results information, determined treatment regimens determined by the expert system, and expiration information, wherein the expiration information indicates a time when a validity of the digital certificate expires,encrypting the digital certificate using an encryption key, wherein the encrypted digital certificate is only decrypted by a decryption key made available to partnered telemedicine providers,contacting a telemedicine professional and transmitting predetermined information from the first central office database including at least the encrypted digital certificate,receiving interactions between the telemedicine professional and the user MU,receiving approval from the telemedicine professional of a selection of the determined treatment regimen determined from at least responses from the user/patient by the telemedicine professional through the user/patient's MU in addition to the determined treatment regimens for the specific medical condition provided by the expert system or from stored preferences of the user/patient stored in the first central office database that define an appropriate action to be taken to complete an approved treatment regimen approved by the telemedicine professional for the specific medical condition, andlocking the UTID to prevent additional transaction information from being appended thereto during the telemedicine professional session.",20,16/014643,2018-06-21,2018,2019-0378624,2019-12-12,10636527,2020-04-28,"RELIANT IMMUNE DIAGNOSTICS, INC.",Jovan Hutton  Pulitzer | Henry Joseph  Legere,G16H-0080/00 | G16H-0010/65 | G16H-0020/10 | G16H-0050/20 | G16H-0015/00 | G16H-0050/70,G16H,4.92E+12
P,"System, method and apparatus for real-time access to networked radiology data","A system and method for secure HIPPA complaint data access by a health professional particularly related to radiology data, such as DICOM images and the like are provided. Including a method for viewing DICOM images as part of a real-time virtual medical consultation using at least one DICOM viewer may have a DICOM viewer option within a secure telemedicine platform; supplying a remote DICOM image database linked to a patient record; providing choices so that a medical professional has the ability to choose a of DICOM image such as a synchronous review, an asynchronous review, an image review, a video review, and a stacked series review; and transferring an encrypted DICOM image to the medical professional based on the selected image choice. According to one approach, the method and system may also have the step of providing concurrent videoconferencing capability between a caller and a callee using WebRTC functionality.","1. A method for viewing DICOM images as part of a real-time virtual medical consultation using at least one DICOM viewer, comprising: generating, by a diagnostic device, a DICOM image associated with a patient;transmitting, by the diagnostic device, the DICOM image to a handheld patient device associated with the patient;encrypting, by the handheld patient device, the DICOM image and linking the encrypted DICOM image to a unique patient identifier associated with the patient, wherein the handheld patient device is one of a tablet computer and a smartphone;transmitting, by the handheld patient device, the encrypted DICOM image to a server;providing, by the server, a DICOM viewer option within a secure telemedicine platform accessible by a medical professional and executed by the server;supplying, via the secure telemedicine platform, a remote DICOM image database linked to a patient record based on the patient identifier;providing, via the DICOM viewer option, choices so that the medical professional has the ability to choose which type of DICOM image they desire or need, wherein the choices are selected from a list consisting of a synchronous review, an asynchronous review, an image review, a video review, and a stacked series review; andtransferring, by the server, the encrypted DICOM image from the remote DICOM image database to the secure telemedicine platform to be viewable by the medical professional based on the selected image choice.",18,16/209064,2018-12-04,2018,2019-0189292,2019-06-20,10629311,2020-04-21,Fawzi Shaya,Fawzi  Shaya,G16H-0080/00 | A61B-0005/0022 | A61B-0005/746 | G06F-0003/0482 | G16H-0040/20 | H04L-0063/0428 | H04W-0012/003,G16H,4.92E+12
P,Telehealth cart that supports a removable tablet with seamless audio/video switching,"A two-way audiovisual communication device with multiple audio and video subsystems. In one embodiment, the device includes a wheeled cart that supports a dock for a tablet computing device that includes a tablet camera, a tablet display, and a tablet microphone. The device also includes a cart camera, a cart speaker, and a cart microphone. The device may be coupled to a network and accessible to other devices on the network to allow a two-way audiovisual session to take place between remote parties. The device may operate in two modes: In a first mode, the tablet is mated with the dock and the remote device receives video from the pan-tilt-zoom camera and audio from the cart microphone. In a second mode, the tablet is removed from the dock and the remote device receives video from the tablet camera and audio from the tablet microphone. In both modes, the tablet monitor displays video from the remote device.","1. A telemedicine system comprising: a cart that supports a cart camera and a dock that is electrically coupled to the cart camera and adapted to receive a tablet device that includes a tablet camera; anda remote device communicatively coupled to the tablet via a network, the remote device including a display device that displays video received from the tablet device during a communication session, wherein the video received from the tablet device is automatically switched, without interrupting the communication session, between video from the cart camera and video from the tablet camera depending on whether the tablet is coupled to the dock such that the display device displays video captured by the cart camera when the tablet is coupled to the dock and the display device displays video captured by the tablet camera when the tablet device is decoupled from the dock and the cart camera.",20,15/965623,2018-04-27,2018,2019-0328229,2019-10-31,10617299,2020-04-14,"INTOUCH TECHNOLOGIES, INC.",Daniel Steven  Sanchez | Gary S.  Douville | Shuodan  Chen | James  Rosenthal | Andrew  Kirchhoff,A61B-0005/0022 | G16H-0040/67 | H04N-0007/144,A61B,4.92E+12
P,Medical device control in telehealth systems,"A system including one or more processors and a memory. The memory stores instructions that, when executed by the one or more processors, cause the system to receive, via a server, a first real time messaging protocol message from a hub application, the first real time messaging protocol message to control a medical; transmit a device driver command to control the medical device based on the first real time messaging protocol message; receive data from the medical device; and transmit, via the server, the data from the medical device to the hub application.","1. A method comprising: receiving, at a node application via a server, a first real time messaging protocol message from a second application, the first real time messaging protocol message to control a medical device located at a node;parsing the first real time messaging protocol message;converting each part of the parsed first real time messaging protocol message to one or more system-level commands;determining whether a device driver for the medical device has been loaded;responsive to determining that the device driver has not been loaded, dynamically loading the device driver;converting the one or more system-level commands to a device driver command that triggers a device-specific sequence of workflow for the medical device; andtransmitting, by the node application, the device driver command to the device driver to control the medical device for effectuating an action specified in the first real time messaging protocol message and in the sequence of workflow;receiving, by the node application, data from the medical device; andtransmitting, by the node application via the server, the data from the medical device to the second application.",20,15/452549,2017-03-07,2017,2018-0262550,2018-09-13,10621304,2020-04-14,"Ricoh Co., Ltd.",Pankaj  Wasnik | Maharsh  Kapadia | Vipin  Namboodiri,G06F-0019/3418 | G16H-0040/67 | G16H-0080/00 | H04L-0065/1063 | H04L-0065/607 | H04L-0067/12 | H04L-0067/02,G06F,4.92E+12
P,Clinical workflows utilizing autonomous and semiautonomous telemedicine devices,"The present disclosure describes various clinical workflows and other methods that utilize a telemedicine device in a healthcare network. According to various embodiments, a healthcare practitioner may utilize a remote presence interfaces (RPIs) on a remote access device (RAD), such as a portable electronic device (PED) to interface with a telemedicine device. The healthcare practitioner may directly interface with a display interface of a telemedicine device or utilize the RPI on a RAD. The present disclosure provides various clinical workflows involving a telemedicine device to view patient data during a telepresence session, perform rounds to visit multiple patients, monitor a patient, allow for remote visitations by companions, and various other clinical workflow methods.","1. A method for providing a remote telepresence patient visitation, the method comprising: receiving a login request from a user using a remote presence interface on a remote access device;verifying credentials of the user provided with the login request;displaying a list of patients on the remote presence interface;receiving a request from the user via the remote presence interface for telepresence sessions with a selection of a plurality of patients from the patient list;directing a telemedicine device to autonomously navigate to a first patient of the plurality of patients;receiving, prior to a telepresence session, patient data regarding the first patient from a bedside patient monitor;populating a dashboard of the remote presence interface with the patient data related to the first patient, such that the patient data is viewable during the telepresence session;in response to the telemedicine device reaching the first patient, initiating a telepresence session between the user and the first patient via the remote presence interface on the remote access device;receiving, subsequent to initiating the telepresence session with the first patient, an indication that the user wishes to conclude the telepresence session with the first patient; anddirecting, upon conclusion of the telepresence session with the first patient, the telemedicine device to autonomously navigate to a second patient of the plurality of patients.",28,14/550744,2014-11-21,2014,2015-0081338,2015-03-19,10603792,2020-03-31,"INTOUCH TECHNOLOGIES, INC.",Fuji  Lai | Timothy C.  Wright | Yair  Lurie | Yulun  Wang,B25J-0009/1676 | G06F-0019/3418 | G06Q-0050/22 | G16H-0040/67 | Y10S-0901/01 | Y10S-0901/47 | Y10S-0901/49,B25J,4.92E+12
